timestamp,temperature_c,setpoint_c,status
2026-05-13T22:00:00Z,35.0,35.0,nominal
2026-05-13T22:30:00Z,35.1,35.0,nominal
2026-05-13T23:00:00Z,35.0,35.0,nominal
2026-05-13T23:30:00Z,35.1,35.0,nominal
2026-05-14T00:00:00Z,35.0,35.0,nominal
2026-05-14T00:30:00Z,35.2,35.0,nominal
2026-05-14T01:00:00Z,35.1,35.0,nominal
2026-05-14T01:30:00Z,35.0,35.0,nominal
2026-05-14T01:34:00Z,35.1,35.0,nominal
2026-05-14T01:38:00Z,34.3,35.5,warning
2026-05-14T01:42:00Z,33.9,35.5,warning
2026-05-14T01:48:00Z,33.6,34.0,warning
2026-05-14T02:00:00Z,34.1,35.0,nominal
2026-05-14T02:30:00Z,34.6,35.0,nominal
2026-05-14T03:00:00Z,34.9,34.0,nominal
2026-05-14T03:30:00Z,34.0,33.0,nominal
2026-05-14T04:00:00Z,33.1,32.0,nominal
2026-05-14T04:30:00Z,32.5,32.0,nominal
2026-05-14T05:00:00Z,32.1,32.0,nominal
2026-05-14T05:30:00Z,32.0,32.0,nominal
2026-05-14T06:00:00Z,32.0,32.0,nominal
