timestamp,impurity_ppm,saturation_pct,ph,status
2026-05-13T22:00:00Z,11.8,80.5,7.1,nominal
2026-05-13T22:30:00Z,12.3,80.1,7.1,nominal
2026-05-13T23:00:00Z,13.5,79.6,7.0,nominal
2026-05-13T23:30:00Z,14.8,79.0,7.1,nominal
2026-05-14T00:00:00Z,16.2,78.4,7.0,nominal
2026-05-14T00:30:00Z,18.4,77.6,7.1,nominal
2026-05-14T01:00:00Z,20.1,77.0,7.0,nominal
2026-05-14T01:30:00Z,22.0,76.5,7.1,nominal
2026-05-14T01:33:00Z,22.5,76.4,7.1,nominal
2026-05-14T01:34:00Z,28.3,76.0,7.1,warning
2026-05-14T01:35:00Z,41.2,75.4,7.1,warning
2026-05-14T01:36:00Z,46.8,75.0,7.1,warning
2026-05-14T01:42:00Z,48.1,74.6,7.0,warning
2026-05-14T01:48:00Z,52.4,74.1,7.0,critical
2026-05-14T02:00:00Z,49.6,74.0,7.1,warning
2026-05-14T02:30:00Z,44.3,73.5,7.0,warning
2026-05-14T03:00:00Z,41.0,73.1,7.1,warning
2026-05-14T03:30:00Z,39.2,72.6,7.0,warning
2026-05-14T04:00:00Z,38.1,72.0,7.1,warning
2026-05-14T04:30:00Z,37.4,71.4,7.0,warning
2026-05-14T05:00:00Z,36.8,70.8,7.1,warning
2026-05-14T05:30:00Z,36.5,70.4,7.0,warning
2026-05-14T06:00:00Z,36.8,70.0,7.0,warning
