timestamp,temperature_c,setpoint_c,status
2026-05-10T22:00:00Z,35.0,35.0,nominal
2026-05-10T22:30:00Z,35.1,35.0,nominal
2026-05-10T23:00:00Z,34.9,35.0,nominal
2026-05-10T23:30:00Z,35.0,35.0,nominal
2026-05-11T00:00:00Z,34.8,34.5,nominal
2026-05-11T00:30:00Z,34.5,34.5,nominal
2026-05-11T01:00:00Z,34.4,34.0,nominal
2026-05-11T01:30:00Z,34.1,34.0,nominal
2026-05-11T02:00:00Z,34.0,33.5,nominal
2026-05-11T02:30:00Z,33.6,33.5,nominal
2026-05-11T03:00:00Z,33.5,33.0,nominal
2026-05-11T03:30:00Z,33.1,33.0,nominal
2026-05-11T04:00:00Z,33.0,32.5,nominal
2026-05-11T04:30:00Z,32.6,32.5,nominal
2026-05-11T05:00:00Z,32.5,32.0,nominal
2026-05-11T05:30:00Z,32.1,32.0,nominal
2026-05-11T06:00:00Z,32.0,32.0,nominal
