timestamp,impurity_ppm,saturation_pct,ph,status
2026-05-10T22:00:00Z,11.2,80.1,7.1,nominal
2026-05-10T22:30:00Z,11.8,79.8,7.0,nominal
2026-05-10T23:00:00Z,12.3,79.4,7.1,nominal
2026-05-10T23:30:00Z,13.1,79.0,7.0,nominal
2026-05-11T00:00:00Z,14.0,78.5,7.1,nominal
2026-05-11T00:30:00Z,15.2,78.0,7.0,nominal
2026-05-11T01:00:00Z,16.8,77.4,7.1,nominal
2026-05-11T01:30:00Z,18.1,76.9,7.0,nominal
2026-05-11T02:00:00Z,19.5,76.2,7.1,nominal
2026-05-11T02:30:00Z,21.0,75.5,7.0,nominal
2026-05-11T03:00:00Z,22.4,74.8,7.1,nominal
2026-05-11T03:30:00Z,23.9,74.1,7.0,nominal
2026-05-11T04:00:00Z,24.8,73.3,7.1,nominal
2026-05-11T04:30:00Z,25.6,72.6,7.0,nominal
2026-05-11T05:00:00Z,26.2,71.8,7.1,nominal
2026-05-11T05:30:00Z,26.8,71.0,7.0,nominal
2026-05-11T06:00:00Z,27.1,70.3,7.1,nominal
