timestamp,clarity_pct,defect_count,status
2026-05-10T22:00:00Z,90.2,1,nominal
2026-05-10T22:30:00Z,90.8,0,nominal
2026-05-10T23:00:00Z,91.3,1,nominal
2026-05-10T23:30:00Z,91.7,0,nominal
2026-05-11T00:00:00Z,92.1,0,nominal
2026-05-11T00:30:00Z,92.4,1,nominal
2026-05-11T01:00:00Z,92.8,0,nominal
2026-05-11T01:30:00Z,93.0,0,nominal
2026-05-11T02:00:00Z,93.2,1,nominal
2026-05-11T02:30:00Z,93.5,0,nominal
2026-05-11T03:00:00Z,93.7,0,nominal
2026-05-11T03:30:00Z,93.9,1,nominal
2026-05-11T04:00:00Z,94.0,0,nominal
2026-05-11T04:30:00Z,94.0,0,nominal
2026-05-11T05:00:00Z,93.8,0,nominal
2026-05-11T05:30:00Z,93.9,1,nominal
2026-05-11T06:00:00Z,94.0,0,nominal
