timestamp,temperature_c,setpoint_c,status
2026-05-14T22:00:00Z,35.0,35.0,nominal
2026-05-14T22:30:00Z,35.1,35.0,nominal
2026-05-14T23:00:00Z,35.0,35.0,nominal
2026-05-14T23:30:00Z,35.0,35.0,nominal
2026-05-15T00:00:00Z,35.1,35.0,nominal
2026-05-15T00:30:00Z,34.6,34.6,nominal
2026-05-15T01:00:00Z,34.2,34.2,nominal
2026-05-15T01:30:00Z,33.8,33.8,nominal
2026-05-15T02:00:00Z,33.4,33.4,nominal
2026-05-15T02:30:00Z,33.0,33.0,nominal
2026-05-15T03:00:00Z,32.6,32.6,nominal
2026-05-15T03:30:00Z,32.2,32.2,nominal
2026-05-15T04:00:00Z,32.0,32.0,nominal
2026-05-15T04:30:00Z,32.0,32.0,nominal
2026-05-15T05:00:00Z,32.0,32.0,nominal
2026-05-15T05:30:00Z,32.0,32.0,nominal
2026-05-15T06:00:00Z,32.0,32.0,nominal
2026-05-15T06:30:00Z,32.0,32.0,nominal
2026-05-15T07:00:00Z,32.0,32.0,nominal
2026-05-15T07:30:00Z,32.0,32.0,nominal
2026-05-15T08:00:00Z,32.0,32.0,nominal
