timestamp,clarity_pct,defect_count,status,event
2026-05-17T02:00:00Z,95.0,0,nominal,
2026-05-17T02:30:00Z,94.8,0,nominal,
2026-05-17T03:00:00Z,94.5,0,nominal,
2026-05-17T03:30:00Z,94.2,0,nominal,
2026-05-17T04:00:00Z,94.0,1,nominal,
2026-05-17T04:30:00Z,93.7,1,nominal,
2026-05-17T05:00:00Z,93.5,1,nominal,
2026-05-17T05:30:00Z,92.8,2,nominal,minor_surface_stress_observed
2026-05-17T06:00:00Z,92.4,2,nominal,
2026-05-17T06:30:00Z,92.0,1,nominal,
2026-05-17T07:00:00Z,91.8,1,nominal,
2026-05-17T07:30:00Z,91.5,1,nominal,
2026-05-17T08:00:00Z,91.3,1,nominal,
2026-05-17T08:30:00Z,91.2,1,nominal,
2026-05-17T09:00:00Z,91.1,1,nominal,
2026-05-17T09:30:00Z,91.0,1,nominal,
2026-05-17T10:00:00Z,91.0,1,nominal,
