timestamp,temperature_c,setpoint_c,status,event
2026-05-17T02:00:00Z,36.0,36.0,nominal,
2026-05-17T02:05:00Z,36.0,36.0,nominal,
2026-05-17T02:10:00Z,36.1,36.0,nominal,
2026-05-17T02:15:00Z,36.0,36.0,nominal,
2026-05-17T02:20:00Z,36.0,36.0,nominal,
2026-05-17T02:25:00Z,36.1,36.0,nominal,
2026-05-17T02:30:00Z,36.0,36.0,nominal,
2026-05-17T02:35:00Z,36.0,36.0,nominal,
2026-05-17T02:40:00Z,36.1,36.0,nominal,
2026-05-17T02:45:00Z,36.0,36.0,nominal,
2026-05-17T02:50:00Z,36.0,36.0,nominal,
2026-05-17T02:55:00Z,36.0,36.0,nominal,
2026-05-17T03:00:00Z,36.0,36.0,nominal,
2026-05-17T03:05:00Z,35.8,35.8,nominal,
2026-05-17T03:10:00Z,35.7,35.7,nominal,
2026-05-17T03:15:00Z,35.5,35.5,nominal,
2026-05-17T03:20:00Z,35.3,35.3,nominal,
2026-05-17T03:25:00Z,35.2,35.2,nominal,
2026-05-17T03:30:00Z,35.0,35.0,nominal,
2026-05-17T03:35:00Z,34.8,34.8,nominal,
2026-05-17T03:40:00Z,34.7,34.7,nominal,
2026-05-17T03:45:00Z,34.5,34.5,nominal,
2026-05-17T03:50:00Z,34.3,34.3,nominal,
2026-05-17T03:55:00Z,34.2,34.2,nominal,
2026-05-17T04:00:00Z,34.0,34.0,nominal,
2026-05-17T04:05:00Z,33.8,33.8,nominal,
2026-05-17T04:10:00Z,33.7,33.7,nominal,
2026-05-17T04:15:00Z,33.5,33.5,nominal,
2026-05-17T04:20:00Z,33.3,33.3,nominal,
2026-05-17T04:25:00Z,33.2,33.2,nominal,
2026-05-17T04:30:00Z,33.0,33.0,nominal,
2026-05-17T04:35:00Z,33.1,33.0,nominal,
2026-05-17T04:40:00Z,33.0,33.0,nominal,
2026-05-17T04:45:00Z,33.0,33.0,nominal,
2026-05-17T04:50:00Z,33.0,33.0,nominal,
2026-05-17T04:55:00Z,33.0,33.0,nominal,
2026-05-17T05:00:00Z,33.0,33.0,nominal,
2026-05-17T05:05:00Z,33.0,33.0,nominal,temp_probe_lag_suspected
2026-05-17T05:10:00Z,33.1,33.0,nominal,temp_probe_lag_suspected
2026-05-17T05:15:00Z,33.0,33.5,nominal,agent_intervention:set_temperature
2026-05-17T05:20:00Z,32.4,33.5,warning,temp_dip_confirmed_post_intervention
2026-05-17T05:25:00Z,33.0,33.5,nominal,
2026-05-17T05:30:00Z,33.3,33.5,nominal,
2026-05-17T05:35:00Z,33.2,33.5,nominal,
2026-05-17T05:40:00Z,33.1,33.0,nominal,
2026-05-17T05:45:00Z,32.9,33.0,nominal,
2026-05-17T05:50:00Z,32.8,33.0,nominal,
2026-05-17T05:55:00Z,32.7,32.5,nominal,
2026-05-17T06:00:00Z,32.5,32.5,nominal,
2026-05-17T06:05:00Z,32.3,32.0,nominal,
2026-05-17T06:10:00Z,32.2,32.0,nominal,
2026-05-17T06:15:00Z,32.1,32.0,nominal,
2026-05-17T06:20:00Z,32.1,32.0,nominal,
2026-05-17T06:25:00Z,32.0,32.0,nominal,
2026-05-17T06:30:00Z,32.0,32.0,nominal,
2026-05-17T06:35:00Z,32.0,32.0,nominal,
2026-05-17T06:40:00Z,32.0,32.0,nominal,
2026-05-17T06:45:00Z,32.0,32.0,nominal,
2026-05-17T06:50:00Z,32.0,32.0,nominal,
2026-05-17T06:55:00Z,32.0,32.0,nominal,
2026-05-17T07:00:00Z,32.0,32.0,nominal,
2026-05-17T07:05:00Z,32.0,32.0,nominal,
2026-05-17T07:10:00Z,32.0,32.0,nominal,
2026-05-17T07:15:00Z,32.0,32.0,nominal,
2026-05-17T07:20:00Z,32.0,32.0,nominal,
2026-05-17T07:25:00Z,32.0,32.0,nominal,
2026-05-17T07:30:00Z,32.0,32.0,nominal,
2026-05-17T07:35:00Z,32.0,32.0,nominal,
2026-05-17T07:40:00Z,32.0,32.0,nominal,
2026-05-17T07:45:00Z,32.0,32.0,nominal,
2026-05-17T07:50:00Z,32.0,32.0,nominal,
2026-05-17T07:55:00Z,32.0,32.0,nominal,
2026-05-17T08:00:00Z,32.1,32.0,nominal,
2026-05-17T08:05:00Z,32.0,32.0,nominal,
2026-05-17T08:10:00Z,32.0,32.0,nominal,
2026-05-17T08:15:00Z,32.0,32.0,nominal,
2026-05-17T08:20:00Z,32.0,32.0,nominal,
2026-05-17T08:25:00Z,32.0,32.0,nominal,
2026-05-17T08:30:00Z,32.0,32.0,nominal,
2026-05-17T08:35:00Z,32.0,32.0,nominal,
2026-05-17T08:40:00Z,32.0,32.0,nominal,
2026-05-17T08:45:00Z,32.0,32.0,nominal,
2026-05-17T08:50:00Z,32.0,32.0,nominal,
2026-05-17T08:55:00Z,32.0,32.0,nominal,
2026-05-17T09:00:00Z,32.1,32.0,nominal,
2026-05-17T09:05:00Z,32.0,32.0,nominal,
2026-05-17T09:10:00Z,32.0,32.0,nominal,
2026-05-17T09:15:00Z,32.0,32.0,nominal,
2026-05-17T09:20:00Z,32.0,32.0,nominal,
2026-05-17T09:25:00Z,32.0,32.0,nominal,
2026-05-17T09:30:00Z,32.0,32.0,nominal,
2026-05-17T09:35:00Z,32.0,32.0,nominal,
2026-05-17T09:40:00Z,32.0,32.0,nominal,
2026-05-17T09:45:00Z,32.0,32.0,nominal,
2026-05-17T09:50:00Z,32.0,32.0,nominal,
2026-05-17T09:55:00Z,32.0,32.0,nominal,
2026-05-17T10:00:00Z,32.0,32.0,nominal,
