timestamp,impurity_ppm,saturation_pct,ph,status
2026-05-12T22:00:00Z,11.5,80.3,7.1,nominal
2026-05-12T22:30:00Z,12.1,79.9,7.0,nominal
2026-05-12T23:00:00Z,13.4,79.2,7.1,nominal
2026-05-12T23:30:00Z,15.2,78.4,7.0,nominal
2026-05-13T00:00:00Z,17.8,77.5,7.0,nominal
2026-05-13T00:30:00Z,21.3,76.2,6.9,nominal
2026-05-13T01:00:00Z,38.6,80.1,6.6,warning
2026-05-13T01:30:00Z,71.4,84.3,6.1,critical
2026-05-13T01:35:00Z,78.2,85.1,6.0,critical
2026-05-13T01:40:00Z,65.3,83.2,6.2,critical
2026-05-13T01:50:00Z,51.2,81.4,6.4,warning
2026-05-13T02:00:00Z,44.8,79.8,6.6,warning
2026-05-13T02:30:00Z,41.1,78.5,6.8,warning
2026-05-13T03:00:00Z,39.4,77.2,6.9,warning
2026-05-13T03:30:00Z,38.2,76.0,7.0,warning
2026-05-13T04:00:00Z,37.5,74.8,7.0,warning
2026-05-13T04:30:00Z,37.1,73.6,7.1,warning
2026-05-13T05:00:00Z,36.8,72.4,7.1,warning
2026-05-13T05:30:00Z,36.5,71.2,7.0,warning
2026-05-13T06:00:00Z,36.2,70.1,7.1,warning
