timestamp,clarity_pct,defect_count
2026-05-12T22:00:00Z,88.1,1
2026-05-12T22:30:00Z,87.8,1
2026-05-12T23:00:00Z,87.3,2
2026-05-12T23:30:00Z,86.9,2
2026-05-13T00:00:00Z,86.4,2
2026-05-13T00:30:00Z,85.8,2
2026-05-13T01:00:00Z,80.3,3
2026-05-13T01:30:00Z,74.1,5
2026-05-13T02:00:00Z,71.0,5
2026-05-13T02:30:00Z,72.4,4
2026-05-13T03:00:00Z,73.8,4
2026-05-13T03:30:00Z,74.5,3
2026-05-13T04:00:00Z,75.2,3
2026-05-13T04:30:00Z,75.8,3
2026-05-13T05:00:00Z,76.0,3
2026-05-13T05:30:00Z,76.1,3
2026-05-13T06:00:00Z,76.2,3
