timestamp,temperature_c,setpoint_c,status
2026-05-12T22:00:00Z,35.0,35.0,nominal
2026-05-12T22:30:00Z,35.2,35.0,nominal
2026-05-12T23:00:00Z,35.1,34.5,nominal
2026-05-12T23:30:00Z,34.8,34.5,nominal
2026-05-13T00:00:00Z,34.5,34.0,nominal
2026-05-13T00:30:00Z,34.1,33.5,nominal
2026-05-13T01:00:00Z,36.4,33.0,warning
2026-05-13T01:30:00Z,39.2,33.0,critical
2026-05-13T01:35:00Z,40.1,33.0,critical
2026-05-13T01:40:00Z,38.6,32.0,warning
2026-05-13T01:50:00Z,36.1,32.0,warning
2026-05-13T02:00:00Z,34.2,32.0,nominal
2026-05-13T02:30:00Z,33.5,31.5,nominal
2026-05-13T03:00:00Z,33.1,31.0,nominal
2026-05-13T03:30:00Z,32.4,30.5,nominal
2026-05-13T04:00:00Z,31.8,30.0,nominal
2026-05-13T04:30:00Z,31.2,30.0,nominal
2026-05-13T05:00:00Z,30.9,30.0,nominal
2026-05-13T05:30:00Z,30.5,30.0,nominal
2026-05-13T06:00:00Z,30.2,30.0,nominal
