timestamp,temperature_c,setpoint_c,status
2026-05-16T22:00:00Z,36.0,36.0,nominal
2026-05-16T22:30:00Z,36.1,36.0,nominal
2026-05-16T23:00:00Z,36.0,36.0,nominal
2026-05-16T23:30:00Z,35.0,35.0,nominal
2026-05-17T00:00:00Z,34.0,34.0,nominal
2026-05-17T00:30:00Z,33.0,33.0,nominal
2026-05-17T00:35:00Z,33.1,33.0,nominal
2026-05-17T00:40:00Z,33.0,33.0,nominal
2026-05-17T00:45:00Z,33.0,33.0,nominal
2026-05-17T00:50:00Z,33.0,33.0,nominal
2026-05-17T00:55:00Z,33.0,33.0,nominal
2026-05-17T01:00:00Z,33.0,33.0,nominal
2026-05-17T01:05:00Z,33.0,33.0,nominal
2026-05-17T01:10:00Z,33.1,33.0,nominal
2026-05-17T01:15:00Z,33.0,33.5,nominal
2026-05-17T01:18:00Z,32.4,33.5,nominal
2026-05-17T01:22:00Z,32.7,33.5,nominal
2026-05-17T01:25:00Z,33.0,33.5,nominal
2026-05-17T01:30:00Z,33.3,33.5,nominal
2026-05-17T02:00:00Z,32.8,33.0,nominal
2026-05-17T02:30:00Z,32.2,32.5,nominal
2026-05-17T03:00:00Z,32.0,32.0,nominal
2026-05-17T03:30:00Z,32.0,32.0,nominal
2026-05-17T04:00:00Z,32.1,32.0,nominal
2026-05-17T04:30:00Z,32.0,32.0,nominal
2026-05-17T05:00:00Z,32.1,32.0,nominal
2026-05-17T05:30:00Z,32.0,32.0,nominal
2026-05-17T06:00:00Z,32.0,32.0,nominal
