timestamp,impurity_ppm,saturation_pct,ph,status,event
2026-05-17T02:00:00Z,11.0,80.0,7.10,nominal,
2026-05-17T02:05:00Z,11.3,80.0,7.10,nominal,
2026-05-17T02:10:00Z,11.5,80.0,7.10,nominal,
2026-05-17T02:15:00Z,11.8,80.0,7.10,nominal,
2026-05-17T02:20:00Z,12.0,80.0,7.10,nominal,
2026-05-17T02:25:00Z,12.3,80.0,7.10,nominal,
2026-05-17T02:30:00Z,12.5,80.0,7.10,nominal,
2026-05-17T02:35:00Z,12.8,80.0,7.10,nominal,
2026-05-17T02:40:00Z,13.0,80.0,7.10,nominal,
2026-05-17T02:45:00Z,13.3,80.0,7.10,nominal,
2026-05-17T02:50:00Z,13.5,80.0,7.10,nominal,
2026-05-17T02:55:00Z,13.8,80.0,7.10,nominal,
2026-05-17T03:00:00Z,14.0,80.0,7.10,nominal,
2026-05-17T03:05:00Z,14.3,79.9,7.10,nominal,
2026-05-17T03:10:00Z,14.7,79.8,7.10,nominal,
2026-05-17T03:15:00Z,15.0,79.7,7.11,nominal,
2026-05-17T03:20:00Z,15.3,79.6,7.11,nominal,
2026-05-17T03:25:00Z,15.7,79.5,7.11,nominal,
2026-05-17T03:30:00Z,16.0,79.4,7.11,nominal,
2026-05-17T03:35:00Z,16.3,79.3,7.12,nominal,
2026-05-17T03:40:00Z,16.7,79.2,7.12,nominal,
2026-05-17T03:45:00Z,17.0,79.1,7.12,nominal,
2026-05-17T03:50:00Z,17.3,79.0,7.12,nominal,
2026-05-17T03:55:00Z,17.7,78.9,7.13,nominal,
2026-05-17T04:00:00Z,18.0,78.8,7.13,nominal,
2026-05-17T04:05:00Z,18.4,78.7,7.13,nominal,
2026-05-17T04:10:00Z,18.7,78.6,7.13,nominal,
2026-05-17T04:15:00Z,19.0,78.5,7.13,nominal,
2026-05-17T04:20:00Z,19.3,78.4,7.13,nominal,
2026-05-17T04:25:00Z,19.7,78.3,7.13,nominal,
2026-05-17T04:30:00Z,20.0,78.2,7.13,nominal,
2026-05-17T04:35:00Z,20.4,78.1,7.13,nominal,
2026-05-17T04:40:00Z,20.7,78.0,7.14,nominal,
2026-05-17T04:45:00Z,21.1,78.0,7.14,nominal,
2026-05-17T04:50:00Z,21.4,77.9,7.14,nominal,
2026-05-17T04:55:00Z,22.0,77.9,7.14,nominal,
2026-05-17T05:00:00Z,24.0,77.8,7.14,nominal,impurity_rising_nominal_range
2026-05-17T05:05:00Z,28.0,77.7,7.14,nominal,impurity_spike_rate_5ppm_per_min
2026-05-17T05:10:00Z,38.0,77.6,7.14,warning,impurity_above_warning_threshold
2026-05-17T05:15:00Z,42.0,77.4,7.14,warning,impurity_above_warning_threshold
2026-05-17T05:20:00Z,39.0,77.3,7.14,warning,impurity_recovering
2026-05-17T05:25:00Z,34.0,77.2,7.14,nominal,impurity_recovering
2026-05-17T05:30:00Z,30.0,77.1,7.14,nominal,
2026-05-17T05:35:00Z,28.0,77.0,7.15,nominal,
2026-05-17T05:40:00Z,27.0,76.9,7.16,nominal,
2026-05-17T05:45:00Z,26.0,76.8,7.17,nominal,
2026-05-17T05:50:00Z,25.0,76.6,7.18,nominal,
2026-05-17T05:55:00Z,24.0,76.5,7.19,nominal,
2026-05-17T06:00:00Z,23.0,76.3,7.20,nominal,
2026-05-17T06:05:00Z,22.5,76.1,7.21,nominal,
2026-05-17T06:10:00Z,22.0,75.9,7.22,nominal,
2026-05-17T06:15:00Z,21.5,75.7,7.22,nominal,
2026-05-17T06:20:00Z,21.0,75.5,7.23,nominal,
2026-05-17T06:25:00Z,20.5,75.3,7.23,nominal,
2026-05-17T06:30:00Z,20.0,75.0,7.24,nominal,
2026-05-17T06:35:00Z,19.7,74.7,7.24,nominal,
2026-05-17T06:40:00Z,19.5,74.5,7.25,nominal,
2026-05-17T06:45:00Z,19.3,74.2,7.25,nominal,
2026-05-17T06:50:00Z,19.0,73.9,7.26,nominal,
2026-05-17T06:55:00Z,19.0,73.7,7.27,nominal,
2026-05-17T07:00:00Z,19.0,73.5,7.28,nominal,ph_monotonic_drift_detected
2026-05-17T07:05:00Z,19.0,73.4,7.30,nominal,ph_monotonic_drift_detected
2026-05-17T07:10:00Z,19.0,73.3,7.30,nominal,ph_monotonic_drift_detected
2026-05-17T07:12:00Z,19.0,73.3,7.30,nominal,agent_intervention:add_buffer
2026-05-17T07:15:00Z,19.0,73.2,7.29,nominal,ph_drift_arrested
2026-05-17T07:20:00Z,18.5,73.1,7.27,nominal,ph_drift_arrested
2026-05-17T07:25:00Z,18.0,73.0,7.26,nominal,ph_drift_arrested
2026-05-17T07:30:00Z,18.0,72.5,7.25,nominal,
